country,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,2020_gdp,2021_gdp,2022_gdp
Albania,800,800,1600,1600,1000,1600,2100,2300,2300,2500,2500,2500,1370,2175,3005,0,0,0
Algeria,71046,81803,97239,111753,131259,97765,165415,188990,222710,178200,177517,85300,97983,123698,118689,0,0,0
Angola,6000,8000,3500,3500,10000,20000,10000,17000,20000,24000,14700,5600,2875,1825,2080,0,0,0
Argentina,290648,336296,422230,452539,373231,522591,673853,596397,684379,432696,480952,525757,663550,610943,282299,223438,241619,260876
Armenia,11000,12000,6000,4000,4000,4000,4000,5000,5000,5200,2300,2500,2200,1200,970,0,0,0
Australia,608804,598394,637019,596765,540562,592122,559314,576855,566454,531596,924154,927274,915658,873713,799263,676804,753256,777688
Austria,307915,308594,298182,293697,319403,328563,356145,336010,319035,303318,308555,329604,353320,341068,320381,257721,239803,215050
Azerbaijan,12100,13000,15000,15000,10000,13000,10000,14000,21000,23300,9100,4300,1700,3200,6046,0,0,0
Bahamas,2500,2000,2000,2000,3500,2000,2000,2500,2000,1600,2800,2700,1332,1332,1332,0,0,0
Bahrain,18000,18000,20000,30000,28000,29000,26000,40000,43500,49600,47700,39200,32439,31855,26372,0,0,0
Bangladesh,6500,9000,12000,17000,21500,20700,20800,24600,24000,29300,28500,15400,2500,2750,3000,0,0,0
Belarus,9000,13000,20000,22000,12000,15000,15000,20000,19600,22300,22400,20200,30659,48315,56592,0,0,0
Belgium,480088,526141,524795,535947,476194,547340,572211,486737,486065,482939,501066,539519,546558,549632,550008,424492,383123,366333
Belize,100,200,100,200,150,100,100,200,200,200,400,400,374,348,348,0,0,0
Bolivia,1000,1500,1500,1500,1000,8000,9500,14000,13900,18500,12800,16900,21807,22612,20319,0,0,0
Bosnia&Herz.,10000,10000,15000,13000,12000,10000,10000,10000,9800,8900,8700,9400,21807,22612,10038,0,0,0
Botswana,12905,13073,16538,20037,19354,20972,25204,31471,31122,26500,3400,3500,3500,3531,1050,0,0,0
